footfall,tempMode,AQ,USS,CS,VOC,RP,IP,Temperature,fail,air_risk,thermal_load,sensor_gap,mechanical_pressure,air_pressure_ratio,control_balance,operating_intensity,sensor_stability,risk_score,machine_health_index,machine_health_level,health_numeric
12,3,4,6,3,2,27,3,2,0,6,5,-2,0.42857142857142855,0.4,0,13.666666666666666,1.51657508881031,0.37918344252531266,0.6208165574746873,Level 1 - Healthy,5
0,7,6,1,6,6,44,4,2,1,12,9,5,0.0,0.8571428571428571,2,15.333333333333334,2.1908902300206643,0.8626811594202898,0.13731884057971022,Level 5 - Critical,1
19,0,4,2,2,1,45,3,2,0,5,2,2,0.41304347826086957,0.2,-1,22.0,1.140175425099138,0.45408755211435375,0.5459124478856463,Level 2 - Low Risk,4
0,2,4,3,6,1,21,4,2,0,5,4,1,0.0,0.2,2,7.666666666666667,1.816590212458495,0.4210144927536231,0.5789855072463769,Level 2 - Low Risk,4
390,5,3,4,7,1,40,5,2,0,4,7,-1,9.512195121951219,0.25,2,144.0,2.23606797749979,0.34067202700019855,0.6593279729998014,Level 1 - Healthy,5
40,7,4,3,4,0,40,6,2,0,4,9,1,0.975609756097561,0.0,-2,27.333333333333332,2.1908902300206643,0.3621332142148104,0.6378667857851896,Level 1 - Healthy,5
3,3,5,5,4,1,48,3,2,0,6,5,0,0.061224489795918366,0.16666666666666666,1,17.666666666666668,1.6733200530681511,0.3959733968632122,0.6040266031367878,Level 2 - Low Risk,4
450,3,4,7,1,0,34,3,2,0,4,5,-3,12.857142857142858,0.0,-2,162.0,2.7386127875258306,0.22318344252531272,0.7768165574746873,Level 1 - Healthy,5
350,0,3,4,7,2,26,2,2,0,5,2,-1,12.962962962962964,0.5,5,126.0,2.073644135332772,0.39955330553901136,0.6004466944609886,Level 2 - Low Risk,4
64,3,4,4,2,1,60,2,3,0,5,6,0,1.0491803278688525,0.2,0,42.333333333333336,1.3416407864998738,0.3911522731784792,0.6088477268215208,Level 1 - Healthy,5
3,0,4,4,3,0,32,3,3,0,4,3,0,0.09090909090909091,0.0,0,12.666666666666666,1.6431676725154984,0.3336545562835021,0.666345443716498,Level 1 - Healthy,5
0,1,4,3,7,1,31,3,3,0,5,4,1,0.0,0.2,4,11.333333333333334,2.1908902300206643,0.42536231884057973,0.5746376811594203,Level 2 - Low Risk,4
640,7,7,5,7,4,33,3,3,1,11,10,2,18.823529411764707,0.5,4,225.33333333333334,1.7888543819998317,0.6499285288862418,0.35007147111375825,Level 3 - Moderate Risk,3
0,7,3,4,6,0,57,3,3,0,3,10,-1,0.0,0.0,3,20.0,2.16794833886788,0.29202898550724643,0.7079710144927536,Level 1 - Healthy,5
12,7,4,3,6,1,84,3,3,0,5,10,1,0.1411764705882353,0.2,3,33.0,1.8165902124584952,0.4251979352789359,0.5748020647210641,Level 2 - Low Risk,4
62,6,7,2,7,5,75,3,3,1,12,9,5,0.8157894736842105,0.625,4,46.666666666666664,2.2803508501982757,0.8161796704387532,0.18382032956124683,Level 4 - High Risk,2
31,2,7,2,6,6,19,4,3,1,13,5,5,1.55,0.75,2,17.666666666666668,2.0,0.874937661306333,0.125062338693667,Level 5 - Critical,1
0,1,3,2,6,1,47,6,3,0,4,4,1,0.0,0.25,0,16.666666666666668,2.302172886644268,0.41702898550724643,0.5829710144927536,Level 2 - Low Risk,4
180,6,5,5,5,0,51,2,3,0,5,9,0,3.4615384615384617,0.0,3,78.0,2.302172886644268,0.3395632320825889,0.6604367679174111,Level 1 - Healthy,5
640,3,6,4,4,5,40,3,3,0,11,6,2,15.609756097560975,0.7142857142857143,1,227.66666666666666,1.1401754250991378,0.6999285288862418,0.3000714711137582,Level 4 - High Risk,2
110,0,2,3,6,1,22,6,3,0,3,3,-1,4.782608695652174,0.3333333333333333,0,45.0,2.302172886644268,0.3405221361921779,0.659477863807822,Level 1 - Healthy,5
100,1,7,7,5,6,35,2,3,0,13,4,0,2.7777777777777777,0.75,3,46.0,2.073644135332772,0.7073257891602144,0.2926742108397856,Level 4 - High Risk,2
100,7,4,4,7,2,43,5,3,0,6,10,0,2.272727272727273,0.4,2,48.666666666666664,1.816590212458495,0.4489924558268811,0.5510075441731189,Level 2 - Low Risk,4
11,3,6,6,3,2,76,6,3,0,8,6,0,0.14285714285714285,0.2857142857142857,-3,30.0,1.9493588689617927,0.46687830057573954,0.5331216994242605,Level 2 - Low Risk,4
0,7,4,3,1,6,45,3,3,1,10,10,1,0.0,1.2,-2,16.0,1.816590212458495,0.7170289855072463,0.28297101449275375,Level 4 - High Risk,2
4,7,4,6,6,0,88,2,3,0,4,10,-2,0.0449438202247191,0.0,4,31.666666666666668,2.6076809620810595,0.26697419098669845,0.7330258090133015,Level 1 - Healthy,5
35,6,4,4,2,1,46,3,4,0,5,10,0,0.7446808510638298,0.2,-1,28.333333333333332,1.3038404810405297,0.39589735953940836,0.6041026404605916,Level 2 - Low Risk,4
0,1,3,4,5,2,22,6,4,0,5,5,-1,0.0,0.5,-1,8.666666666666666,1.5811388300841898,0.4130434782608696,0.5869565217391304,Level 2 - Low Risk,4
0,7,5,1,6,5,68,3,4,1,10,11,4,0.0,0.8333333333333334,3,24.0,2.0,0.7713768115942028,0.2286231884057972,Level 4 - High Risk,2
0,2,5,2,6,5,38,3,4,1,10,6,3,0.0,0.8333333333333334,3,14.0,1.6431676725154984,0.7380434782608696,0.2619565217391304,Level 4 - High Risk,2
33,7,4,3,6,3,69,2,4,0,7,11,1,0.4714285714285714,0.6,4,35.333333333333336,1.51657508881031,0.5459247567996823,0.45407524320031767,Level 3 - Moderate Risk,3
270,2,5,4,3,0,67,3,4,0,5,6,1,3.9705882352941178,0.0,0,113.66666666666667,1.8708286933869707,0.3760115147905499,0.6239884852094502,Level 1 - Healthy,5
45,7,2,4,6,0,88,4,4,0,2,11,-2,0.5056179775280899,0.0,2,45.666666666666664,2.280350850198276,0.25409370657137187,0.7459062934286281,Level 1 - Healthy,5
40,3,6,2,5,5,68,3,4,1,11,7,4,0.5797101449275363,0.7142857142857143,2,37.333333333333336,1.6431676725154984,0.7791621997220569,0.22083780027794309,Level 4 - High Risk,2
6,1,5,2,4,2,76,3,4,1,7,5,3,0.07792207792207792,0.3333333333333333,1,28.666666666666668,1.3038404810405297,0.5629612864800476,0.4370387135199524,Level 3 - Moderate Risk,3
2,7,4,4,6,0,72,2,4,0,4,11,0,0.0273972602739726,0.0,4,26.0,2.280350850198276,0.3380160810005956,0.6619839189994043,Level 1 - Healthy,5
0,0,6,2,6,6,37,6,4,1,12,4,4,0.0,0.8571428571428571,0,13.666666666666666,1.7888543819998322,0.8380434782608697,0.16195652173913033,Level 5 - Critical,1
35,3,4,2,6,0,69,3,4,0,4,7,2,0.5,0.0,3,36.0,2.23606797749979,0.4042306928727417,0.5957693071272583,Level 2 - Low Risk,4
83,0,2,4,6,0,33,6,4,0,2,4,-2,2.4411764705882355,0.0,0,40.0,2.6076809620810595,0.25357315862616636,0.7464268413738336,Level 1 - Healthy,5
3500,7,2,2,6,0,34,4,4,0,2,11,0,100.0,0.0,2,1179.3333333333333,2.280350850198276,0.27343160611475087,0.7265683938852492,Level 1 - Healthy,5
100,2,4,4,7,2,30,3,4,0,6,6,0,3.225806451612903,0.4,4,44.666666666666664,1.8708286933869707,0.4533402819138376,0.5466597180861624,Level 2 - Low Risk,4
350,2,3,3,6,1,19,3,4,0,4,6,0,17.5,0.25,3,124.33333333333333,1.7888543819998317,0.3832489577129244,0.6167510422870757,Level 1 - Healthy,5
100,3,4,6,2,0,44,3,4,0,4,7,-2,2.2222222222222223,0.0,-1,49.333333333333336,2.23606797749979,0.2700069485805043,0.7299930514194957,Level 1 - Healthy,5
67,1,4,4,7,1,64,3,4,0,5,5,0,1.0307692307692307,0.2,4,45.0,2.16794833886788,0.3954590033750248,0.6045409966249752,Level 2 - Low Risk,4
30,5,7,7,2,0,37,4,4,0,7,9,0,0.7894736842105263,0.0,-2,23.666666666666668,3.082207001484488,0.36263251935675994,0.6373674806432401,Level 1 - Healthy,5
0,7,6,3,5,4,31,5,5,1,10,12,3,0.0,0.5714285714285714,0,12.0,1.1401754250991378,0.692391304347826,0.30760869565217397,Level 4 - High Risk,2
0,0,6,1,5,4,88,4,5,1,10,5,5,0.0,0.5714285714285714,1,31.0,1.8708286933869707,0.7590579710144927,0.24094202898550732,Level 4 - High Risk,2
6,7,6,2,6,6,77,4,5,1,12,12,4,0.07692307692307693,0.8571428571428571,2,29.333333333333332,1.7888543819998317,0.8423091125670042,0.15769088743299575,Level 5 - Critical,1
350,1,4,5,6,5,30,6,5,0,9,6,-1,11.290322580645162,1.0,0,128.33333333333334,0.8366600265340756,0.5959301171332142,0.4040698828667858,Level 3 - Moderate Risk,3
400,1,2,3,7,1,32,4,5,0,3,6,-1,12.121212121212121,0.3333333333333333,3,145.66666666666666,2.3021728866442674,0.3452451856263649,0.654754814373635,Level 1 - Healthy,5
15,7,6,2,6,6,59,1,5,1,12,12,4,0.25,0.8571428571428571,5,26.333333333333332,2.4899799195977463,0.8421858248957714,0.15781417510422857,Level 5 - Critical,1
0,0,4,4,4,3,47,4,5,0,7,5,0,0.0,0.6,0,17.333333333333332,0.4472135954999579,0.5173913043478261,0.4826086956521739,Level 3 - Moderate Risk,3
3,2,4,6,5,1,22,3,5,0,5,7,-2,0.13043478260869565,0.2,2,10.0,1.9235384061671346,0.3340168751240818,0.6659831248759183,Level 1 - Healthy,5
22,5,4,2,6,2,55,3,5,0,6,10,2,0.39285714285714285,0.4,3,27.333333333333332,1.6733200530681511,0.5254232678181457,0.47457673218185426,Level 3 - Moderate Risk,3
64,2,2,1,3,0,24,2,5,0,2,7,1,2.56,0.0,1,31.0,1.140175425099138,0.3581812586857256,0.6418187413142744,Level 1 - Healthy,5
32,5,3,7,4,1,65,1,5,0,4,10,-4,0.48484848484848486,0.25,3,34.0,2.4899799195977463,0.2586196148501092,0.7413803851498908,Level 1 - Healthy,5
390,7,3,6,2,2,24,3,5,0,5,12,-3,15.6,0.5,-1,139.66666666666666,1.6431676725154984,0.3453821719277348,0.6546178280722652,Level 1 - Healthy,5
0,7,3,4,5,3,30,3,5,0,6,12,-1,0.0,0.75,2,11.666666666666666,0.8944271909999159,0.47572463768115936,0.5242753623188406,Level 2 - Low Risk,4
0,7,4,5,2,3,73,3,5,0,7,12,-1,0.0,0.6,-1,26.0,1.140175425099138,0.48405797101449277,0.5159420289855072,Level 3 - Moderate Risk,3
59,5,3,3,5,1,73,5,5,0,4,10,0,0.7972972972972973,0.25,0,45.666666666666664,1.6733200530681511,0.39158308516974394,0.6084169148302561,Level 1 - Healthy,5
0,6,4,3,6,2,91,1,5,0,6,11,1,0.0,0.4,5,32.0,1.9235384061671346,0.4923913043478261,0.5076086956521739,Level 3 - Moderate Risk,3
35,7,3,2,5,0,71,2,5,0,3,12,1,0.4861111111111111,0.0,3,37.0,1.8165902124584952,0.3669118522930316,0.6330881477069684,Level 1 - Healthy,5
0,2,6,4,5,4,34,4,5,1,10,7,2,0.0,0.5714285714285714,1,13.0,0.8944271909999159,0.6590579710144927,0.3409420289855073,Level 3 - Moderate Risk,3
170,7,4,3,2,0,48,2,6,0,4,13,1,3.4693877551020407,0.0,0,74.66666666666667,1.4832396974191326,0.3777436966448282,0.6222563033551718,Level 1 - Healthy,5
12,1,6,2,6,5,42,4,6,1,11,7,4,0.27906976744186046,0.7142857142857143,2,20.0,1.6733200530681511,0.7882414135398055,0.21175858646019452,Level 4 - High Risk,2
40,4,6,5,4,0,72,2,6,0,6,10,1,0.547945205479452,0.0,2,39.333333333333336,2.4083189157584592,0.3961911852293032,0.6038088147706968,Level 2 - Low Risk,4
31,2,3,4,6,6,20,4,6,1,9,8,-1,1.4761904761904763,1.5,2,19.0,1.3416407864998738,0.6546478062338693,0.3453521937661307,Level 3 - Moderate Risk,3
31,7,2,2,7,0,22,4,6,0,2,13,0,1.3478260869565217,0.0,3,19.666666666666668,2.6457513110645907,0.3296478062338694,0.6703521937661305,Level 1 - Healthy,5
1600,1,3,3,6,1,24,6,6,0,4,7,0,64.0,0.25,0,543.3333333333334,2.16794833886788,0.37482132221560455,0.6251786777843955,Level 1 - Healthy,5
1,1,4,2,7,2,39,6,6,0,6,7,2,0.025,0.4,1,15.333333333333334,2.2803508501982757,0.5300587651379789,0.4699412348620211,Level 3 - Moderate Risk,3
4,7,6,1,6,6,83,5,6,1,12,13,5,0.047619047619047616,0.8571428571428571,1,31.0,2.16794833886788,0.880017669247568,0.11998233075243203,Level 5 - Critical,1
190,0,6,2,6,6,39,3,6,1,12,6,4,4.75,0.8571428571428571,3,78.33333333333333,1.9493588689617927,0.8441363907087553,0.15586360929124465,Level 5 - Critical,1
53,3,5,3,6,1,33,5,6,0,6,9,2,1.5588235294117647,0.16666666666666666,1,30.666666666666668,2.0,0.4793464363708556,0.5206535636291444,Level 2 - Low Risk,4
31,7,4,3,6,1,53,3,6,1,5,13,1,0.5740740740740741,0.2,3,30.0,1.8165902124584952,0.4379811395672027,0.5620188604327974,Level 2 - Low Risk,4
16,7,5,3,6,5,82,3,6,1,10,13,2,0.1927710843373494,0.8333333333333334,3,34.666666666666664,1.3416407864998738,0.7131866190192574,0.2868133809807426,Level 4 - High Risk,2
33,5,4,3,5,6,82,3,6,1,10,11,1,0.39759036144578314,1.2,2,40.333333333333336,1.3038404810405297,0.7296204089735954,0.27037959102640463,Level 4 - High Risk,2
0,3,5,3,6,5,47,6,7,1,10,10,2,0.0,0.8333333333333334,0,18.0,1.224744871391589,0.7177536231884056,0.28224637681159437,Level 4 - High Risk,2
0,3,4,2,7,4,68,3,7,0,8,10,2,0.0,0.8,4,25.0,1.8708286933869707,0.651086956521739,0.348913043478261,Level 3 - Moderate Risk,3
0,7,4,3,5,0,84,6,7,0,4,14,1,0.0,0.0,-1,30.333333333333332,2.302172886644268,0.3844202898550725,0.6155797101449275,Level 1 - Healthy,5
27,2,6,1,6,5,35,5,7,1,11,9,5,0.75,0.7142857142857143,1,23.0,2.073644135332772,0.8257170935080405,0.17428290649195954,Level 5 - Critical,1
84,7,4,5,6,1,67,2,7,0,5,14,-1,1.2352941176470589,0.2,4,52.666666666666664,2.0736441353327724,0.3749362715902323,0.6250637284097678,Level 1 - Healthy,5
22,3,5,3,5,4,33,2,7,1,9,10,2,0.6470588235294118,0.6666666666666666,3,20.666666666666668,1.3038404810405297,0.6591189199920587,0.34088108000794126,Level 3 - Moderate Risk,3
0,3,3,3,5,0,49,7,7,0,3,10,0,0.0,0.0,-2,18.666666666666668,2.6076809620810595,0.34275362318840585,0.6572463768115941,Level 1 - Healthy,5
3500,0,4,3,7,0,91,1,7,0,4,7,1,38.04347826086956,0.0,6,1199.3333333333333,2.7386127875258306,0.3364750843756204,0.6635249156243797,Level 1 - Healthy,5
390,7,4,5,3,1,43,3,7,0,5,14,-1,8.863636363636363,0.2,0,146.66666666666666,1.4832396974191326,0.3707444907683145,0.6292555092316855,Level 1 - Healthy,5
0,7,4,3,2,6,65,4,7,0,10,14,1,0.0,1.2,-2,24.0,1.4832396974191326,0.7344202898550724,0.26557971014492765,Level 4 - High Risk,2
16,7,5,6,3,0,69,3,7,0,5,14,-1,0.22857142857142856,0.0,0,30.666666666666668,2.3021728866442674,0.32586777843954734,0.6741322215604526,Level 1 - Healthy,5
200,0,5,5,4,1,56,4,8,0,6,8,0,3.508771929824561,0.16666666666666666,0,88.0,1.6431676725154984,0.419361723247965,0.580638276752035,Level 2 - Low Risk,4
640,0,2,3,5,0,24,6,8,0,2,8,-1,25.6,0.0,-1,224.0,2.3874672772626644,0.2966676593210244,0.7033323406789755,Level 1 - Healthy,5
0,7,4,4,5,0,77,3,8,0,4,15,0,0.0,0.0,2,28.333333333333332,1.9235384061671346,0.35543478260869565,0.6445652173913043,Level 1 - Healthy,5
45,7,6,3,7,0,74,3,8,0,6,15,3,0.6,0.0,4,42.333333333333336,2.7748873851023217,0.4714850109191979,0.5285149890808021,Level 2 - Low Risk,4
12,0,7,3,6,6,25,6,8,1,13,8,4,0.46153846153846156,0.75,0,15.0,1.51657508881031,0.8636037323803851,0.13639626761961487,Level 5 - Critical,1
20,7,6,2,5,4,85,1,8,1,10,15,4,0.23255813953488372,0.5714285714285714,4,37.666666666666664,2.073644135332772,0.7384941433392893,0.2615058566607107,Level 4 - High Risk,2
7300,5,7,7,6,3,21,2,8,0,10,13,0,331.8181818181818,0.375,4,2443.0,2.345207879911715,0.4554347826086956,0.5445652173913045,Level 2 - Low Risk,4
64,7,6,3,1,0,24,4,8,0,6,15,3,2.56,0.0,-3,32.0,2.387467277262665,0.47122473694659517,0.5287752630534048,Level 2 - Low Risk,4
13,7,5,4,7,4,73,4,8,0,9,15,1,0.17567567567567569,0.6666666666666666,3,31.333333333333332,1.3038404810405297,0.6302567004169148,0.36974329958308516,Level 3 - Moderate Risk,3
190,0,4,5,3,2,37,3,8,0,6,8,-1,5.0,0.4,0,78.33333333333333,1.140175425099138,0.4361653762160016,0.5638346237839984,Level 2 - Low Risk,4
9,4,4,5,1,2,35,4,8,0,6,12,-1,0.25,0.4,-3,17.333333333333332,1.6431676725154984,0.4386448282707961,0.5613551717292039,Level 2 - Low Risk,4
0,7,4,4,7,0,47,3,8,0,4,15,0,0.0,0.0,4,18.333333333333332,2.5099800796022267,0.35543478260869565,0.6445652173913043,Level 1 - Healthy,5
170,2,4,2,6,6,21,3,8,1,10,10,2,7.7272727272727275,1.2,3,66.33333333333333,1.7888543819998317,0.7697726821520746,0.23022731784792538,Level 4 - High Risk,2
640,7,3,6,4,0,55,5,8,0,3,15,-3,11.428571428571429,0.0,-1,234.33333333333334,2.302172886644268,0.2383343259876911,0.7616656740123089,Level 1 - Healthy,5
9,4,6,3,6,6,30,6,8,1,12,12,3,0.2903225806451613,0.8571428571428571,0,15.666666666666666,1.3416407864998738,0.8219781616041295,0.1780218383958705,Level 4 - High Risk,2
0,4,5,3,6,4,76,7,8,1,9,12,2,0.0,0.6666666666666666,-1,28.0,1.5811388300841898,0.663768115942029,0.336231884057971,Level 3 - Moderate Risk,3
7300,5,3,4,3,3,36,4,8,0,6,13,-1,197.2972972972973,0.75,-1,2448.0,0.5477225575051661,0.3887681159420289,0.6112318840579711,Level 1 - Healthy,5
2800,0,1,1,7,0,38,3,9,0,1,9,0,71.7948717948718,0.0,4,949.0,2.792848008753788,0.29642644431209053,0.7035735556879095,Level 1 - Healthy,5
0,7,2,3,5,0,67,3,9,0,2,16,-1,0.0,0.0,2,25.333333333333332,1.816590212458495,0.30978260869565216,0.6902173913043479,Level 1 - Healthy,5
30,7,7,3,7,6,70,2,9,1,13,16,4,0.4225352112676056,0.75,5,36.333333333333336,2.345207879911715,0.8677049831248759,0.13229501687512413,Level 5 - Critical,1
44,7,5,3,7,2,78,4,9,0,7,16,2,0.5569620253164557,0.3333333333333333,3,43.666666666666664,1.9235384061671343,0.5508465356362915,0.4491534643637085,Level 3 - Moderate Risk,3
7300,1,2,2,7,3,27,6,9,0,5,10,0,260.7142857142857,1.0,1,2445.3333333333335,2.345207879911715,0.4181159420289855,0.5818840579710145,Level 2 - Low Risk,4
330,4,3,5,6,1,51,4,9,0,4,13,-2,6.346153846153846,0.25,2,130.0,1.9235384061671346,0.33859539408378003,0.66140460591622,Level 1 - Healthy,5
3,0,6,7,3,5,33,4,9,0,11,9,-1,0.08823529411764706,0.7142857142857143,-1,15.0,1.5811388300841898,0.6347415128052413,0.36525848719475873,Level 3 - Moderate Risk,3
51,2,6,1,5,6,80,6,9,1,12,11,5,0.6296296296296297,0.8571428571428571,-1,46.666666666666664,2.16794833886788,0.8924173118919992,0.10758268810800076,Level 5 - Critical,1
29,5,4,1,6,1,79,1,9,0,5,14,3,0.3625,0.2,5,39.0,2.302172886644268,0.5177186817550129,0.4822813182449871,Level 3 - Moderate Risk,3
630,2,6,4,5,4,66,1,9,1,10,11,2,9.402985074626866,0.5714285714285714,4,235.0,1.8708286933869707,0.6678191383760175,0.3321808616239825,Level 3 - Moderate Risk,3
170,0,4,1,6,0,32,3,10,0,4,10,3,5.151515151515151,0.0,3,70.66666666666667,2.3874672772626644,0.46180166765932107,0.5381983323406789,Level 2 - Low Risk,4
33,7,4,5,7,0,70,2,10,0,4,17,-1,0.4647887323943662,0.0,5,37.666666666666664,2.701851217221259,0.33034504665475484,0.6696549533452452,Level 1 - Healthy,5
0,3,2,3,6,3,42,3,10,0,5,13,-1,0.0,1.0,3,17.333333333333332,1.5165750888103102,0.48913043478260865,0.5108695652173914,Level 3 - Moderate Risk,3
9,5,5,4,5,5,73,4,10,1,10,15,1,0.12162162162162163,0.8333333333333334,1,30.666666666666668,0.5477225575051661,0.6973404804447091,0.3026595195552909,Level 4 - High Risk,2
22,4,4,4,6,0,87,2,10,0,4,14,0,0.25,0.0,4,39.666666666666664,2.280350850198276,0.363829064919595,0.636170935080405,Level 1 - Healthy,5
100,0,7,5,1,1,30,5,10,0,8,10,2,3.225806451612903,0.125,-4,46.666666666666664,2.6832815729997477,0.5127605717689101,0.4872394282310899,Level 3 - Moderate Risk,3
2,2,4,4,5,3,52,3,10,0,7,12,0,0.03773584905660377,0.6,2,21.333333333333332,0.8366600265340756,0.5391030375223347,0.4608969624776653,Level 3 - Moderate Risk,3
0,6,5,3,6,1,62,4,10,0,6,16,2,0.0,0.16666666666666666,2,24.0,1.9235384061671346,0.49746376811594195,0.502536231884058,Level 3 - Moderate Risk,3
50,7,6,3,4,0,67,3,10,0,6,17,3,0.7352941176470589,0.0,1,42.333333333333336,2.16794833886788,0.48011216994242606,0.519887830057574,Level 2 - Low Risk,4
15,4,6,3,4,4,37,6,10,0,10,14,3,0.39473684210526316,0.5714285714285714,-2,20.666666666666668,1.3416407864998738,0.7139249553305539,0.2860750446694461,Level 4 - High Risk,2
3,4,3,5,7,0,37,4,10,0,3,14,-2,0.07894736842105263,0.0,3,16.666666666666668,2.588435821108957,0.2890893388921978,0.7109106611078022,Level 1 - Healthy,5
720,5,1,5,6,1,64,6,10,0,2,15,-4,11.076923076923077,0.5,0,264.6666666666667,2.588435821108957,0.25426742108397854,0.7457325789160214,Level 1 - Healthy,5
640,7,1,1,5,0,34,3,10,0,1,17,0,18.285714285714285,0.0,2,228.0,2.0,0.3303633114949375,0.6696366885050625,Level 1 - Healthy,5
5,7,4,4,7,0,70,3,10,0,4,17,0,0.07042253521126761,0.0,4,28.333333333333332,2.5099800796022267,0.36406194163192374,0.6359380583680763,Level 1 - Healthy,5
24,2,6,2,6,6,31,5,10,1,12,12,4,0.75,0.8571428571428571,1,21.666666666666668,1.7320508075688772,0.8638016676593211,0.1361983323406789,Level 5 - Critical,1
22,7,2,2,6,0,29,6,11,0,2,18,0,0.7333333333333333,0.0,0,20.666666666666668,2.6832815729997477,0.3515102243398849,0.6484897756601151,Level 1 - Healthy,5
55,7,4,5,4,1,71,2,11,0,5,18,-1,0.7638888888888888,0.2,2,45.666666666666664,1.6431676725154984,0.392724836212031,0.607275163787969,Level 2 - Low Risk,4
0,2,4,4,4,0,67,1,11,0,4,13,0,0.0,0.0,3,26.0,1.949358868961793,0.36847826086956526,0.6315217391304347,Level 1 - Healthy,5
1600,5,4,4,6,0,41,7,11,0,4,16,0,38.095238095238095,0.0,-1,550.6666666666666,2.6832815729997477,0.34656045265038715,0.6534395473496128,Level 1 - Healthy,5
170,6,1,2,6,0,49,6,11,0,1,17,-1,3.4,0.0,0,76.66666666666667,2.8284271247461903,0.30781616041294424,0.6921838395870558,Level 1 - Healthy,5
1000,7,4,4,5,0,42,5,11,0,4,18,0,23.25581395348837,0.0,0,351.0,2.073644135332772,0.3547796307325789,0.6452203692674211,Level 1 - Healthy,5
